node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf115,55,57,0,0,57,0,0.0,0.0,2
clab-nebula-serf120,55,24,5,0,19,1.0,0.20833333333333334,0.20833333333333334,2
clab-nebula-serf125,55,161,88,0,73,1.0,0.546583850931677,0.546583850931677,2
clab-nebula-serf130,55,136,35,0,101,1.0,0.25735294117647056,0.25735294117647056,2
clab-nebula-serf135,55,137,32,0,105,1.0,0.23357664233576642,0.23357664233576642,2
clab-nebula-serf140,55,136,35,0,101,1.0,0.25735294117647056,0.25735294117647056,2
clab-nebula-serf145,55,130,28,0,102,1.0,0.2153846153846154,0.2153846153846154,2
clab-nebula-serf150,55,141,49,0,92,1.0,0.3475177304964539,0.3475177304964539,2
clab-nebula-serf155,55,137,49,0,88,1.0,0.35766423357664234,0.35766423357664234,2
clab-nebula-serf160,55,139,49,0,90,1.0,0.35251798561151076,0.35251798561151076,2
clab-nebula-serf1,60,153,105,0,48,1.0,0.6862745098039216,0.6862745098039216,2
clab-nebula-serf5,60,143,94,0,49,1.0,0.6573426573426573,0.6573426573426573,2
clab-nebula-serf10,60,156,105,0,51,1.0,0.6730769230769231,0.6730769230769231,2
clab-nebula-serf15,60,158,123,0,35,1.0,0.7784810126582279,0.7784810126582279,2
clab-nebula-serf20,60,154,99,0,55,1.0,0.6428571428571429,0.6428571428571429,2
clab-nebula-serf25,60,154,89,0,65,1.0,0.577922077922078,0.577922077922078,2
clab-nebula-serf30,60,154,109,0,45,1.0,0.7077922077922078,0.7077922077922078,2
clab-nebula-serf35,60,154,94,0,60,1.0,0.6103896103896104,0.6103896103896104,2
clab-nebula-serf40,60,154,96,0,58,1.0,0.6233766233766234,0.6233766233766234,2
clab-nebula-serf45,60,155,133,0,22,1.0,0.8580645161290322,0.8580645161290322,2
